cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2
True	1	3	ORG	0.28571	0.14634	0.19355	41	CRF	ner.txt.horus	ner.txt.horus
True	1	3	PER	0.47959	0.36154	0.41228	130	CRF	ner.txt.horus	ner.txt.horus
True	1	4	LOC	0.31579	0.15000	0.20339	80	CRF	ner.txt.horus	ner.txt.horus
True	1	4	ORG	0.54545	0.15385	0.24000	39	CRF	ner.txt.horus	ner.txt.horus
True	1	4	PER	0.43704	0.49167	0.46275	120	CRF	ner.txt.horus	ner.txt.horus
True	1	5	LOC	0.41667	0.32787	0.36697	61	CRF	ner.txt.horus	ner.txt.horus
True	1	5	ORG	0.36842	0.12963	0.19178	54	CRF	ner.txt.horus	ner.txt.horus
True	1	5	PER	0.74699	0.39744	0.51883	156	CRF	ner.txt.horus	ner.txt.horus
False	1	1	LOC	0.25974	0.08197	0.12461	244	CRF	ner.txt.horus	emerging.test.annotated.horus
False	1	1	ORG	0.10714	0.03448	0.05217	87	CRF	ner.txt.horus	emerging.test.annotated.horus
False	1	1	PER	0.55731	0.25134	0.34644	561	CRF	ner.txt.horus	emerging.test.annotated.horus
False	1	1	LOC	0.16940	0.19620	0.18182	158	CRF	emerging.test.annotated.horus	2015.conll.freebase.horus
False	1	1	ORG	0.00000	0.00000	0.00000	49	CRF	emerging.test.annotated.horus	2015.conll.freebase.horus
False	1	1	PER	0.20076	0.39259	0.26566	270	CRF	emerging.test.annotated.horus	2015.conll.freebase.horus
False	1	1	LOC	0.23106	0.21712	0.22387	1110	CRF	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	ORG	0.16279	0.04636	0.07216	906	CRF	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	PER	0.17144	0.40177	0.24033	789	CRF	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus
False	1	1	LOC	0.16358	0.16159	0.16258	328	CRF	emerging.test.annotated.horus	ner.txt.horus
False	1	1	ORG	0.00000	0.00000	0.00000	205	CRF	emerging.test.annotated.horus	ner.txt.horus
False	1	1	PER	0.33125	0.31689	0.32391	669	CRF	emerging.test.annotated.horus	ner.txt.horus
True	1	1	LOC	0.26923	0.12500	0.17073	56	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	1	1	ORG	0.00000	0.00000	0.00000	21	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	1	1	PER	0.35000	0.33981	0.34483	103	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	1	2	LOC	0.23810	0.18868	0.21053	53	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	1	2	ORG	0.00000	0.00000	0.00000	19	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	1	2	PER	0.32967	0.29126	0.30928	103	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	1	3	LOC	0.48889	0.34921	0.40741	63	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	1	3	ORG	0.00000	0.00000	0.00000	23	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	1	3	PER	0.41250	0.27049	0.32673	122	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	1	4	LOC	0.41860	0.36000	0.38710	50	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	1	4	ORG	0.00000	0.00000	0.00000	10	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	1	4	PER	0.53226	0.28205	0.36872	117	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	1	5	LOC	0.11429	0.12500	0.11940	32	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	1	5	ORG	0.20000	0.07143	0.10526	28	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	1	5	PER	0.42157	0.31618	0.36134	136	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	1	LOC	0.00000	0.00000	0.00000	21	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	1	ORG	0.00000	0.00000	0.00000	13	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	1	PER	0.00000	0.00000	0.00000	48	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	2	LOC	0.00000	0.00000	0.00000	35	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	2	ORG	1.00000	0.07692	0.14286	13	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	2	PER	1.00000	0.01923	0.03774	52	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	3	LOC	0.00000	0.00000	0.00000	14	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	3	ORG	1.00000	0.12500	0.22222	16	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	3	PER	0.75000	0.06977	0.12766	43	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	4	LOC	0.60000	0.11538	0.19355	26	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	4	ORG	0.00000	0.00000	0.00000	8	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	4	PER	0.00000	0.00000	0.00000	67	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	5	LOC	0.50000	0.13043	0.20690	23	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	5	ORG	1.00000	0.08333	0.15385	12	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	5	PER	0.40000	0.03636	0.06667	55	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
False	2	1	LOC	0.67416	0.05405	0.10008	1110	CRF	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	ORG	0.83951	0.07506	0.13779	906	CRF	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	PER	0.52500	0.05323	0.09666	789	CRF	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	LOC	0.69444	0.07622	0.13736	328	CRF	2015.conll.freebase.horus	ner.txt.horus
False	2	1	ORG	1.00000	0.15610	0.27004	205	CRF	2015.conll.freebase.horus	ner.txt.horus
False	2	1	PER	0.58333	0.05232	0.09602	669	CRF	2015.conll.freebase.horus	ner.txt.horus
False	2	1	LOC	0.50000	0.00820	0.01613	244	CRF	2015.conll.freebase.horus	emerging.test.annotated.horus
False	2	1	ORG	0.00000	0.00000	0.00000	87	CRF	2015.conll.freebase.horus	emerging.test.annotated.horus
False	2	1	PER	0.30000	0.00535	0.01051	561	CRF	2015.conll.freebase.horus	emerging.test.annotated.horus
False	2	1	LOC	0.73684	0.17722	0.28571	158	CRF	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
False	2	1	ORG	0.50000	0.12245	0.19672	49	CRF	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
False	2	1	PER	0.86111	0.11481	0.20261	270	CRF	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
True	2	1	LOC	0.79365	0.42918	0.55710	233	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	1	ORG	0.89130	0.45556	0.60294	180	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	1	PER	0.77273	0.11258	0.19653	151	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	2	LOC	0.81529	0.51200	0.62899	250	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	2	ORG	0.83333	0.42614	0.56391	176	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	2	PER	0.85294	0.17791	0.29442	163	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	3	LOC	0.89394	0.48361	0.62766	244	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	3	ORG	0.90909	0.43210	0.58577	162	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	3	PER	0.50000	0.03550	0.06630	169	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	4	LOC	0.88406	0.52586	0.65946	232	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	4	ORG	0.88793	0.51244	0.64984	201	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	4	PER	0.73913	0.12230	0.20988	139	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	5	LOC	0.84034	0.53476	0.65359	187	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	5	ORG	0.84762	0.44059	0.57980	202	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	5	PER	0.61538	0.10390	0.17778	154	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	LOC	0.71910	0.19512	0.30695	328	CRF	2016.conll.freebase.ascii.txt.horus	ner.txt.horus
False	2	1	ORG	0.90741	0.23902	0.37838	205	CRF	2016.conll.freebase.ascii.txt.horus	ner.txt.horus
False	2	1	PER	0.67742	0.06278	0.11491	669	CRF	2016.conll.freebase.ascii.txt.horus	ner.txt.horus
False	2	1	LOC	0.65000	0.05328	0.09848	244	CRF	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus
False	2	1	ORG	0.38462	0.05747	0.10000	87	CRF	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus
False	2	1	PER	0.65385	0.03030	0.05792	561	CRF	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus
False	2	1	LOC	0.70833	0.10759	0.18681	158	CRF	ner.txt.horus	2015.conll.freebase.horus
False	2	1	ORG	0.85714	0.12245	0.21429	49	CRF	ner.txt.horus	2015.conll.freebase.horus
False	2	1	PER	0.38095	0.08889	0.14414	270	CRF	ner.txt.horus	2015.conll.freebase.horus
False	2	1	LOC	0.79853	0.19640	0.31526	1110	CRF	ner.txt.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	ORG	0.78205	0.06733	0.12398	906	CRF	ner.txt.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	PER	0.39623	0.07985	0.13291	789	CRF	ner.txt.horus	2016.conll.freebase.ascii.txt.horus
True	2	1	LOC	1.00000	0.22059	0.36145	68	CRF	ner.txt.horus	ner.txt.horus
True	2	1	ORG	1.00000	0.50000	0.66667	28	CRF	ner.txt.horus	ner.txt.horus
True	2	1	PER	0.92105	0.23649	0.37634	148	CRF	ner.txt.horus	ner.txt.horus
True	2	2	LOC	0.63158	0.22222	0.32877	54	CRF	ner.txt.horus	ner.txt.horus
True	2	2	ORG	1.00000	0.39474	0.56604	38	CRF	ner.txt.horus	ner.txt.horus
True	2	2	PER	0.88636	0.31452	0.46429	124	CRF	ner.txt.horus	ner.txt.horus
True	2	3	LOC	1.00000	0.20968	0.34667	62	CRF	ner.txt.horus	ner.txt.horus
True	2	3	ORG	1.00000	0.34146	0.50909	41	CRF	ner.txt.horus	ner.txt.horus
True	2	3	PER	1.00000	0.30769	0.47059	130	CRF	ner.txt.horus	ner.txt.horus
True	2	4	LOC	0.90909	0.12500	0.21978	80	CRF	ner.txt.horus	ner.txt.horus
True	2	4	ORG	0.81250	0.33333	0.47273	39	CRF	ner.txt.horus	ner.txt.horus
True	2	4	PER	0.91176	0.25833	0.40260	120	CRF	ner.txt.horus	ner.txt.horus
True	2	5	LOC	0.73333	0.18033	0.28947	61	CRF	ner.txt.horus	ner.txt.horus
True	2	5	ORG	1.00000	0.40741	0.57895	54	CRF	ner.txt.horus	ner.txt.horus
True	2	5	PER	0.98000	0.31410	0.47573	156	CRF	ner.txt.horus	ner.txt.horus
False	2	1	LOC	1.00000	0.01230	0.02429	244	CRF	ner.txt.horus	emerging.test.annotated.horus
False	2	1	ORG	0.00000	0.00000	0.00000	87	CRF	ner.txt.horus	emerging.test.annotated.horus
False	2	1	PER	0.61538	0.01426	0.02787	561	CRF	ner.txt.horus	emerging.test.annotated.horus
False	2	1	LOC	0.00000	0.00000	0.00000	158	CRF	emerging.test.annotated.horus	2015.conll.freebase.horus
False	2	1	ORG	0.00000	0.00000	0.00000	49	CRF	emerging.test.annotated.horus	2015.conll.freebase.horus
False	2	1	PER	0.57143	0.01481	0.02888	270	CRF	emerging.test.annotated.horus	2015.conll.freebase.horus
False	2	1	LOC	0.17857	0.00901	0.01715	1110	CRF	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	ORG	0.66667	0.01104	0.02172	906	CRF	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	PER	0.08865	0.03169	0.04669	789	CRF	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	LOC	0.12500	0.00610	0.01163	328	CRF	emerging.test.annotated.horus	ner.txt.horus
False	2	1	ORG	0.00000	0.00000	0.00000	205	CRF	emerging.test.annotated.horus	ner.txt.horus
False	2	1	PER	0.40000	0.01495	0.02882	669	CRF	emerging.test.annotated.horus	ner.txt.horus
True	2	1	LOC	1.00000	0.07143	0.13333	56	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	1	ORG	0.50000	0.09524	0.16000	21	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	1	PER	0.50000	0.13592	0.21374	103	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	2	LOC	0.60000	0.33962	0.43373	53	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	2	ORG	0.00000	0.00000	0.00000	19	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	2	PER	0.77778	0.13592	0.23140	103	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	3	LOC	0.85000	0.26984	0.40964	63	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	3	ORG	0.00000	0.00000	0.00000	23	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	3	PER	0.77778	0.05738	0.10687	122	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	4	LOC	0.94737	0.36000	0.52174	50	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	4	ORG	0.00000	0.00000	0.00000	10	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	4	PER	0.77778	0.05983	0.11111	117	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	5	LOC	0.53333	0.25000	0.34043	32	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	5	ORG	0.00000	0.00000	0.00000	28	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	5	PER	0.62500	0.07353	0.13158	136	CRF	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	1	LOC	0.00000	0.00000	0.00000	21	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	1	ORG	0.00000	0.00000	0.00000	13	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	1	PER	0.00000	0.00000	0.00000	48	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	2	LOC	0.00000	0.00000	0.00000	35	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	2	ORG	0.00000	0.00000	0.00000	13	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	2	PER	0.00000	0.00000	0.00000	52	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	3	LOC	0.00000	0.00000	0.00000	14	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	3	ORG	0.00000	0.00000	0.00000	16	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	3	PER	0.00000	0.00000	0.00000	43	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	4	LOC	0.00000	0.00000	0.00000	26	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	4	ORG	0.00000	0.00000	0.00000	8	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	4	PER	0.00000	0.00000	0.00000	67	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	5	LOC	0.00000	0.00000	0.00000	23	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	5	ORG	0.00000	0.00000	0.00000	12	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	5	PER	0.00000	0.00000	0.00000	55	CRF	2015.conll.freebase.horus	2015.conll.freebase.horus
False	3	1	LOC	0.40000	0.00180	0.00359	1110	CRF	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	3	1	ORG	0.00000	0.00000	0.00000	906	CRF	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	3	1	PER	0.00000	0.00000	0.00000	789	CRF	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	3	1	LOC	0.66667	0.00610	0.01208	328	CRF	2015.conll.freebase.horus	ner.txt.horus
False	3	1	ORG	0.00000	0.00000	0.00000	205	CRF	2015.conll.freebase.horus	ner.txt.horus
False	3	1	PER	0.00000	0.00000	0.00000	669	CRF	2015.conll.freebase.horus	ner.txt.horus
False	3	1	LOC	0.00000	0.00000	0.00000	244	CRF	2015.conll.freebase.horus	emerging.test.annotated.horus
False	3	1	ORG	0.00000	0.00000	0.00000	87	CRF	2015.conll.freebase.horus	emerging.test.annotated.horus
False	3	1	PER	0.00000	0.00000	0.00000	561	CRF	2015.conll.freebase.horus	emerging.test.annotated.horus
False	3	1	LOC	0.00000	0.00000	0.00000	158	CRF	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
False	3	1	ORG	0.00000	0.00000	0.00000	49	CRF	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
False	3	1	PER	0.00000	0.00000	0.00000	270	CRF	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
True	3	1	LOC	0.00000	0.00000	0.00000	233	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	1	ORG	0.00000	0.00000	0.00000	180	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	1	PER	0.00000	0.00000	0.00000	151	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	2	LOC	0.00000	0.00000	0.00000	250	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	2	ORG	0.00000	0.00000	0.00000	176	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	2	PER	0.00000	0.00000	0.00000	163	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	3	LOC	0.25000	0.00820	0.01587	244	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	3	ORG	0.00000	0.00000	0.00000	162	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	3	PER	0.00000	0.00000	0.00000	169	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	4	LOC	0.00000	0.00000	0.00000	232	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	4	ORG	0.00000	0.00000	0.00000	201	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	4	PER	0.00000	0.00000	0.00000	139	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	5	LOC	0.14286	0.00535	0.01031	187	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	5	ORG	0.00000	0.00000	0.00000	202	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	5	PER	0.00000	0.00000	0.00000	154	CRF	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
False	3	1	LOC	0.00000	0.00000	0.00000	328	CRF	2016.conll.freebase.ascii.txt.horus	ner.txt.horus
False	3	1	ORG	0.00000	0.00000	0.00000	205	CRF	2016.conll.freebase.ascii.txt.horus	ner.txt.horus
